Step number : 1000
x = 0.082, y = -0.82929, yExact = -0.82928, Relative Error : 1.644e-05
x = 0.083, y = -0.82712, yExact = -0.82711, Relative Error : 1.669e-05
x = 0.084, y = -0.82496, yExact = -0.82494, Relative Error : 1.693e-05
x = 0.085, y = -0.82279, yExact = -0.82277, Relative Error : 1.718e-05
x = 0.086, y = -0.82062, yExact = -0.82060, Relative Error : 1.743e-05
x = 0.087, y = -0.81845, yExact = -0.81843, Relative Error : 1.767e-05
x = 0.088, y = -0.81627, yExact = -0.81626, Relative Error : 1.792e-05
x = 0.089, y = -0.81409, yExact = -0.81408, Relative Error : 1.817e-05
x = 0.090, y = -0.81191, yExact = -0.81190, Relative Error : 1.843e-05
x = 0.091, y = -0.80973, yExact = -0.80972, Relative Error : 1.868e-05
x = 0.092, y = -0.80755, yExact = -0.80754, Relative Error : 1.894e-05
x = 0.093, y = -0.80537, yExact = -0.80535, Relative Error : 1.919e-05
x = 0.094, y = -0.80318, yExact = -0.80316, Relative Error : 1.945e-05
x = 0.095, y = -0.80099, yExact = -0.80097, Relative Error : 1.971e-05
x = 0.096, y = -0.79880, yExact = -0.79878, Relative Error : 1.997e-05
x = 0.097, y = -0.79661, yExact = -0.79659, Relative Error : 2.023e-05
x = 0.098, y = -0.79441, yExact = -0.79440, Relative Error : 2.050e-05
x = 0.099, y = -0.79222, yExact = -0.79220, Relative Error : 2.076e-05
x = 0.100, y = -0.79002, yExact = -0.79000, Relative Error : 2.103e-05
x = 0.101, y = -0.78782, yExact = -0.78780, Relative Error : 2.130e-05
x = 0.102, y = -0.78561, yExact = -0.78560, Relative Error : 2.157e-05
x = 0.103, y = -0.78341, yExact = -0.78339, Relative Error : 2.184e-05
x = 0.104, y = -0.78120, yExact = -0.78118, Relative Error : 2.211e-05
x = 0.105, y = -0.77899, yExact = -0.77897, Relative Error : 2.238e-05
x = 0.106, y = -0.77678, yExact = -0.77676, Relative Error : 2.266e-05
x = 0.107, y = -0.77457, yExact = -0.77455, Relative Error : 2.294e-05
x = 0.108, y = -0.77235, yExact = -0.77234, Relative Error : 2.322e-05
x = 0.109, y = -0.77014, yExact = -0.77012, Relative Error : 2.350e-05
x = 0.110, y = -0.76792, yExact = -0.76790, Relative Error : 2.378e-05
x = 0.111, y = -0.76570, yExact = -0.76568, Relative Error : 2.406e-05
x = 0.112, y = -0.76347, yExact = -0.76346, Relative Error : 2.435e-05
x = 0.113, y = -0.76125, yExact = -0.76123, Relative Error : 2.464e-05
x = 0.114, y = -0.75902, yExact = -0.75900, Relative Error : 2.493e-05
x = 0.115, y = -0.75679, yExact = -0.75677, Relative Error : 2.522e-05
x = 0.116, y = -0.75456, yExact = -0.75454, Relative Error : 2.551e-05
x = 0.117, y = -0.75233, yExact = -0.75231, Relative Error : 2.580e-05
x = 0.118, y = -0.75010, yExact = -0.75008, Relative Error : 2.610e-05
x = 0.119, y = -0.74786, yExact = -0.74784, Relative Error : 2.640e-05
x = 0.120, y = -0.74562, yExact = -0.74560, Relative Error : 2.670e-05
x = 0.121, y = -0.74338, yExact = -0.74336, Relative Error : 2.700e-05
x = 0.122, y = -0.74114, yExact = -0.74112, Relative Error : 2.730e-05
x = 0.123, y = -0.73889, yExact = -0.73887, Relative Error : 2.761e-05
x = 0.124, y = -0.73664, yExact = -0.73662, Relative Error : 2.792e-05
x = 0.125, y = -0.73440, yExact = -0.73437, Relative Error : 2.822e-05
x = 0.126, y = -0.73214, yExact = -0.73212, Relative Error : 2.854e-05
x = 0.127, y = -0.72989, yExact = -0.72987, Relative Error : 2.885e-05
x = 0.128, y = -0.72764, yExact = -0.72762, Relative Error : 2.916e-05
x = 0.129, y = -0.72538, yExact = -0.72536, Relative Error : 2.948e-05
x = 0.130, y = -0.72312, yExact = -0.72310, Relative Error : 2.980e-05
x = 0.131, y = -0.72086, yExact = -0.72084, Relative Error : 3.012e-05
x = 0.132, y = -0.71860, yExact = -0.71858, Relative Error : 3.044e-05
x = 0.133, y = -0.71633, yExact = -0.71631, Relative Error : 3.077e-05
x = 0.134, y = -0.71407, yExact = -0.71404, Relative Error : 3.109e-05
x = 0.135, y = -0.71180, yExact = -0.71177, Relative Error : 3.142e-05
x = 0.136, y = -0.70953, yExact = -0.70950, Relative Error : 3.175e-05
x = 0.137, y = -0.70725, yExact = -0.70723, Relative Error : 3.209e-05
x = 0.138, y = -0.70498, yExact = -0.70496, Relative Error : 3.242e-05
x = 0.139, y = -0.70270, yExact = -0.70268, Relative Error : 3.276e-05
x = 0.140, y = -0.70042, yExact = -0.70040, Relative Error : 3.310e-05
x = 0.141, y = -0.69814, yExact = -0.69812, Relative Error : 3.344e-05
x = 0.142, y = -0.69586, yExact = -0.69584, Relative Error : 3.379e-05
x = 0.143, y = -0.69357, yExact = -0.69355, Relative Error : 3.413e-05
x = 0.144, y = -0.69129, yExact = -0.69126, Relative Error : 3.448e-05
x = 0.145, y = -0.68900, yExact = -0.68897, Relative Error : 3.484e-05
x = 0.146, y = -0.68671, yExact = -0.68668, Relative Error : 3.519e-05
x = 0.147, y = -0.68442, yExact = -0.68439, Relative Error : 3.555e-05
x = 0.148, y = -0.68212, yExact = -0.68210, Relative Error : 3.590e-05
x = 0.149, y = -0.67982, yExact = -0.67980, Relative Error : 3.627e-05
x = 0.150, y = -0.67752, yExact = -0.67750, Relative Error : 3.663e-05
x = 0.151, y = -0.67522, yExact = -0.67520, Relative Error : 3.699e-05
x = 0.152, y = -0.67292, yExact = -0.67290, Relative Error : 3.736e-05
x = 0.153, y = -0.67062, yExact = -0.67059, Relative Error : 3.773e-05
x = 0.154, y = -0.66831, yExact = -0.66828, Relative Error : 3.811e-05
x = 0.155, y = -0.66600, yExact = -0.66597, Relative Error : 3.849e-05
x = 0.156, y = -0.66369, yExact = -0.66366, Relative Error : 3.886e-05
x = 0.157, y = -0.66138, yExact = -0.66135, Relative Error : 3.925e-05
x = 0.158, y = -0.65906, yExact = -0.65904, Relative Error : 3.963e-05
x = 0.159, y = -0.65675, yExact = -0.65672, Relative Error : 4.002e-05
x = 0.160, y = -0.65443, yExact = -0.65440, Relative Error : 4.041e-05
x = 0.161, y = -0.65211, yExact = -0.65208, Relative Error : 4.080e-05
x = 0.162, y = -0.64978, yExact = -0.64976, Relative Error : 4.120e-05
x = 0.163, y = -0.64746, yExact = -0.64743, Relative Error : 4.160e-05
x = 0.164, y = -0.64513, yExact = -0.64510, Relative Error : 4.200e-05
x = 0.165, y = -0.64280, yExact = -0.64277, Relative Error : 4.240e-05
x = 0.166, y = -0.64047, yExact = -0.64044, Relative Error : 4.281e-05
x = 0.167, y = -0.63814, yExact = -0.63811, Relative Error : 4.322e-05
x = 0.168, y = -0.63580, yExact = -0.63578, Relative Error : 4.363e-05
x = 0.169, y = -0.63347, yExact = -0.63344, Relative Error : 4.405e-05
x = 0.170, y = -0.63113, yExact = -0.63110, Relative Error : 4.447e-05
x = 0.171, y = -0.62879, yExact = -0.62876, Relative Error : 4.489e-05
x = 0.172, y = -0.62644, yExact = -0.62642, Relative Error : 4.532e-05
x = 0.173, y = -0.62410, yExact = -0.62407, Relative Error : 4.575e-05
x = 0.174, y = -0.62175, yExact = -0.62172, Relative Error : 4.618e-05
x = 0.175, y = -0.61940, yExact = -0.61937, Relative Error : 4.662e-05
x = 0.176, y = -0.61705, yExact = -0.61702, Relative Error : 4.706e-05
x = 0.177, y = -0.61470, yExact = -0.61467, Relative Error : 4.750e-05
x = 0.178, y = -0.61235, yExact = -0.61232, Relative Error : 4.795e-05
x = 0.179, y = -0.60999, yExact = -0.60996, Relative Error : 4.840e-05
x = 0.180, y = -0.60763, yExact = -0.60760, Relative Error : 4.885e-05
x = 0.181, y = -0.60527, yExact = -0.60524, Relative Error : 4.931e-05
x = 0.182, y = -0.60291, yExact = -0.60288, Relative Error : 4.977e-05
x = 0.183, y = -0.60054, yExact = -0.60051, Relative Error : 5.023e-05
x = 0.184, y = -0.59817, yExact = -0.59814, Relative Error : 5.070e-05
x = 0.185, y = -0.59581, yExact = -0.59577, Relative Error : 5.117e-05
x = 0.186, y = -0.59343, yExact = -0.59340, Relative Error : 5.165e-05
x = 0.187, y = -0.59106, yExact = -0.59103, Relative Error : 5.213e-05
x = 0.188, y = -0.58869, yExact = -0.58866, Relative Error : 5.261e-05
x = 0.189, y = -0.58631, yExact = -0.58628, Relative Error : 5.310e-05
x = 0.190, y = -0.58393, yExact = -0.58390, Relative Error : 5.359e-05
x = 0.191, y = -0.58155, yExact = -0.58152, Relative Error : 5.409e-05
x = 0.192, y = -0.57917, yExact = -0.57914, Relative Error : 5.459e-05
x = 0.193, y = -0.57678, yExact = -0.57675, Relative Error : 5.509e-05
x = 0.194, y = -0.57440, yExact = -0.57436, Relative Error : 5.560e-05
x = 0.195, y = -0.57201, yExact = -0.57197, Relative Error : 5.611e-05
x = 0.196, y = -0.56962, yExact = -0.56958, Relative Error : 5.663e-05
x = 0.197, y = -0.56722, yExact = -0.56719, Relative Error : 5.715e-05
x = 0.198, y = -0.56483, yExact = -0.56480, Relative Error : 5.768e-05
x = 0.199, y = -0.56243, yExact = -0.56240, Relative Error : 5.821e-05
x = 0.200, y = -0.56003, yExact = -0.56000, Relative Error : 5.874e-05
x = 0.201, y = -0.55763, yExact = -0.55760, Relative Error : 5.928e-05
x = 0.202, y = -0.55523, yExact = -0.55520, Relative Error : 5.983e-05
x = 0.203, y = -0.55282, yExact = -0.55279, Relative Error : 6.038e-05
x = 0.204, y = -0.55042, yExact = -0.55038, Relative Error : 6.093e-05
x = 0.205, y = -0.54801, yExact = -0.54797, Relative Error : 6.149e-05
x = 0.206, y = -0.54560, yExact = -0.54556, Relative Error : 6.206e-05
x = 0.207, y = -0.54319, yExact = -0.54315, Relative Error : 6.263e-05
x = 0.208, y = -0.54077, yExact = -0.54074, Relative Error : 6.320e-05
x = 0.209, y = -0.53835, yExact = -0.53832, Relative Error : 6.378e-05
x = 0.210, y = -0.53593, yExact = -0.53590, Relative Error : 6.437e-05
x = 0.211, y = -0.53351, yExact = -0.53348, Relative Error : 6.496e-05
x = 0.212, y = -0.53109, yExact = -0.53106, Relative Error : 6.555e-05
x = 0.213, y = -0.52867, yExact = -0.52863, Relative Error : 6.616e-05
x = 0.214, y = -0.52624, yExact = -0.52620, Relative Error : 6.676e-05
x = 0.215, y = -0.52381, yExact = -0.52377, Relative Error : 6.738e-05
x = 0.216, y = -0.52138, yExact = -0.52134, Relative Error : 6.800e-05
x = 0.217, y = -0.51895, yExact = -0.51891, Relative Error : 6.862e-05
x = 0.218, y = -0.51651, yExact = -0.51648, Relative Error : 6.925e-05
x = 0.219, y = -0.51407, yExact = -0.51404, Relative Error : 6.989e-05
x = 0.220, y = -0.51164, yExact = -0.51160, Relative Error : 7.053e-05
x = 0.221, y = -0.50920, yExact = -0.50916, Relative Error : 7.118e-05
x = 0.222, y = -0.50675, yExact = -0.50672, Relative Error : 7.184e-05
x = 0.223, y = -0.50431, yExact = -0.50427, Relative Error : 7.250e-05
x = 0.224, y = -0.50186, yExact = -0.50182, Relative Error : 7.317e-05
x = 0.225, y = -0.49941, yExact = -0.49937, Relative Error : 7.385e-05
x = 0.226, y = -0.49696, yExact = -0.49692, Relative Error : 7.453e-05
x = 0.227, y = -0.49451, yExact = -0.49447, Relative Error : 7.522e-05
x = 0.228, y = -0.49205, yExact = -0.49202, Relative Error : 7.592e-05
x = 0.229, y = -0.48960, yExact = -0.48956, Relative Error : 7.662e-05
x = 0.230, y = -0.48714, yExact = -0.48710, Relative Error : 7.733e-05
x = 0.231, y = -0.48468, yExact = -0.48464, Relative Error : 7.805e-05
x = 0.232, y = -0.48221, yExact = -0.48218, Relative Error : 7.878e-05
x = 0.233, y = -0.47975, yExact = -0.47971, Relative Error : 7.951e-05
x = 0.234, y = -0.47728, yExact = -0.47724, Relative Error : 8.025e-05
