
Initial angle = 0.500, Initial angular speed : 0.000
Time = 0.680, Theta = 0.39290, Small Oscillation = 0.38879, Subtle Error = 4.110e-03
Time = 0.690, Theta = 0.38984, Small Oscillation = 0.38562, Subtle Error = 4.214e-03
Time = 0.700, Theta = 0.38674, Small Oscillation = 0.38242, Subtle Error = 4.319e-03
Time = 0.710, Theta = 0.38360, Small Oscillation = 0.37918, Subtle Error = 4.423e-03
Time = 0.720, Theta = 0.38043, Small Oscillation = 0.37590, Subtle Error = 4.529e-03
Time = 0.730, Theta = 0.37722, Small Oscillation = 0.37259, Subtle Error = 4.635e-03
Time = 0.740, Theta = 0.37398, Small Oscillation = 0.36923, Subtle Error = 4.741e-03
Time = 0.750, Theta = 0.37069, Small Oscillation = 0.36584, Subtle Error = 4.848e-03
Time = 0.760, Theta = 0.36737, Small Oscillation = 0.36242, Subtle Error = 4.955e-03
Time = 0.770, Theta = 0.36402, Small Oscillation = 0.35896, Subtle Error = 5.062e-03
Time = 0.780, Theta = 0.36063, Small Oscillation = 0.35546, Subtle Error = 5.170e-03
Time = 0.790, Theta = 0.35720, Small Oscillation = 0.35192, Subtle Error = 5.278e-03
Time = 0.800, Theta = 0.35374, Small Oscillation = 0.34835, Subtle Error = 5.386e-03
Time = 0.810, Theta = 0.35024, Small Oscillation = 0.34475, Subtle Error = 5.494e-03
Time = 0.820, Theta = 0.34671, Small Oscillation = 0.34111, Subtle Error = 5.602e-03
Time = 0.830, Theta = 0.34315, Small Oscillation = 0.33744, Subtle Error = 5.711e-03
Time = 0.840, Theta = 0.33955, Small Oscillation = 0.33373, Subtle Error = 5.820e-03
Time = 0.850, Theta = 0.33592, Small Oscillation = 0.32999, Subtle Error = 5.929e-03
Time = 0.860, Theta = 0.33226, Small Oscillation = 0.32622, Subtle Error = 6.037e-03
Time = 0.870, Theta = 0.32856, Small Oscillation = 0.32241, Subtle Error = 6.146e-03
Time = 0.880, Theta = 0.32483, Small Oscillation = 0.31858, Subtle Error = 6.255e-03
Time = 0.890, Theta = 0.32107, Small Oscillation = 0.31471, Subtle Error = 6.364e-03
Time = 0.900, Theta = 0.31728, Small Oscillation = 0.31080, Subtle Error = 6.472e-03
Time = 0.910, Theta = 0.31345, Small Oscillation = 0.30687, Subtle Error = 6.581e-03
Time = 0.920, Theta = 0.30960, Small Oscillation = 0.30291, Subtle Error = 6.689e-03
Time = 0.930, Theta = 0.30571, Small Oscillation = 0.29892, Subtle Error = 6.798e-03
Time = 0.940, Theta = 0.30180, Small Oscillation = 0.29489, Subtle Error = 6.906e-03
Time = 0.950, Theta = 0.29785, Small Oscillation = 0.29084, Subtle Error = 7.013e-03
Time = 0.960, Theta = 0.29388, Small Oscillation = 0.28676, Subtle Error = 7.121e-03
Time = 0.970, Theta = 0.28988, Small Oscillation = 0.28265, Subtle Error = 7.228e-03
Time = 0.980, Theta = 0.28585, Small Oscillation = 0.27851, Subtle Error = 7.335e-03
Time = 0.990, Theta = 0.28179, Small Oscillation = 0.27434, Subtle Error = 7.441e-03
Time = 1.000, Theta = 0.27770, Small Oscillation = 0.27015, Subtle Error = 7.548e-03
Time = 1.010, Theta = 0.27358, Small Oscillation = 0.26593, Subtle Error = 7.653e-03
Time = 1.020, Theta = 0.26944, Small Oscillation = 0.26168, Subtle Error = 7.759e-03
Time = 1.030, Theta = 0.26527, Small Oscillation = 0.25741, Subtle Error = 7.864e-03
Time = 1.040, Theta = 0.26108, Small Oscillation = 0.25311, Subtle Error = 7.968e-03
Time = 1.050, Theta = 0.25686, Small Oscillation = 0.24879, Subtle Error = 8.072e-03
Time = 1.060, Theta = 0.25261, Small Oscillation = 0.24444, Subtle Error = 8.175e-03
Time = 1.070, Theta = 0.24834, Small Oscillation = 0.24006, Subtle Error = 8.278e-03
Time = 1.080, Theta = 0.24404, Small Oscillation = 0.23566, Subtle Error = 8.381e-03
Time = 1.090, Theta = 0.23972, Small Oscillation = 0.23124, Subtle Error = 8.482e-03
Time = 1.100, Theta = 0.23538, Small Oscillation = 0.22680, Subtle Error = 8.583e-03
Time = 1.110, Theta = 0.23101, Small Oscillation = 0.22233, Subtle Error = 8.684e-03
Time = 1.120, Theta = 0.22662, Small Oscillation = 0.21784, Subtle Error = 8.783e-03
Time = 1.130, Theta = 0.22221, Small Oscillation = 0.21333, Subtle Error = 8.883e-03
Time = 1.140, Theta = 0.21778, Small Oscillation = 0.20880, Subtle Error = 8.981e-03
Time = 1.150, Theta = 0.21332, Small Oscillation = 0.20424, Subtle Error = 9.079e-03
Time = 1.160, Theta = 0.20885, Small Oscillation = 0.19967, Subtle Error = 9.175e-03
Time = 1.170, Theta = 0.20435, Small Oscillation = 0.19508, Subtle Error = 9.272e-03
Time = 1.180, Theta = 0.19983, Small Oscillation = 0.19046, Subtle Error = 9.367e-03
Time = 1.190, Theta = 0.19529, Small Oscillation = 0.18583, Subtle Error = 9.461e-03
Time = 1.200, Theta = 0.19073, Small Oscillation = 0.18118, Subtle Error = 9.555e-03
Time = 1.210, Theta = 0.18616, Small Oscillation = 0.17651, Subtle Error = 9.648e-03
Time = 1.220, Theta = 0.18156, Small Oscillation = 0.17182, Subtle Error = 9.740e-03
Time = 1.230, Theta = 0.17695, Small Oscillation = 0.16712, Subtle Error = 9.831e-03
Time = 1.240, Theta = 0.17232, Small Oscillation = 0.16240, Subtle Error = 9.921e-03
Time = 1.250, Theta = 0.16767, Small Oscillation = 0.15766, Subtle Error = 1.001e-02
Time = 1.260, Theta = 0.16301, Small Oscillation = 0.15291, Subtle Error = 1.010e-02
Time = 1.270, Theta = 0.15833, Small Oscillation = 0.14814, Subtle Error = 1.019e-02
Time = 1.280, Theta = 0.15363, Small Oscillation = 0.14336, Subtle Error = 1.027e-02
Time = 1.290, Theta = 0.14892, Small Oscillation = 0.13856, Subtle Error = 1.036e-02
Time = 1.300, Theta = 0.14419, Small Oscillation = 0.13375, Subtle Error = 1.044e-02
Time = 1.310, Theta = 0.13945, Small Oscillation = 0.12893, Subtle Error = 1.053e-02
Time = 1.320, Theta = 0.13470, Small Oscillation = 0.12409, Subtle Error = 1.061e-02
Time = 1.330, Theta = 0.12993, Small Oscillation = 0.11924, Subtle Error = 1.069e-02
Time = 1.340, Theta = 0.12515, Small Oscillation = 0.11438, Subtle Error = 1.077e-02
Time = 1.350, Theta = 0.12035, Small Oscillation = 0.10950, Subtle Error = 1.085e-02
Time = 1.360, Theta = 0.11555, Small Oscillation = 0.10462, Subtle Error = 1.093e-02
Time = 1.370, Theta = 0.11073, Small Oscillation = 0.09972, Subtle Error = 1.101e-02
Time = 1.380, Theta = 0.10590, Small Oscillation = 0.09482, Subtle Error = 1.108e-02
Time = 1.390, Theta = 0.10106, Small Oscillation = 0.08991, Subtle Error = 1.116e-02
Time = 1.400, Theta = 0.09622, Small Oscillation = 0.08498, Subtle Error = 1.123e-02
Time = 1.410, Theta = 0.09136, Small Oscillation = 0.08005, Subtle Error = 1.131e-02
Time = 1.420, Theta = 0.08649, Small Oscillation = 0.07511, Subtle Error = 1.138e-02
Time = 1.430, Theta = 0.08161, Small Oscillation = 0.07017, Subtle Error = 1.145e-02
Time = 1.440, Theta = 0.07673, Small Oscillation = 0.06521, Subtle Error = 1.152e-02
Time = 1.450, Theta = 0.07184, Small Oscillation = 0.06025, Subtle Error = 1.159e-02
Time = 1.460, Theta = 0.06694, Small Oscillation = 0.05528, Subtle Error = 1.165e-02
Time = 1.470, Theta = 0.06203, Small Oscillation = 0.05031, Subtle Error = 1.172e-02
Time = 1.480, Theta = 0.05712, Small Oscillation = 0.04534, Subtle Error = 1.178e-02
Time = 1.490, Theta = 0.05220, Small Oscillation = 0.04035, Subtle Error = 1.185e-02
Time = 1.500, Theta = 0.04728, Small Oscillation = 0.03537, Subtle Error = 1.191e-02
Time = 1.510, Theta = 0.04235, Small Oscillation = 0.03038, Subtle Error = 1.197e-02
Time = 1.520, Theta = 0.03742, Small Oscillation = 0.02539, Subtle Error = 1.203e-02
Time = 1.530, Theta = 0.03248, Small Oscillation = 0.02039, Subtle Error = 1.209e-02
Time = 1.540, Theta = 0.02755, Small Oscillation = 0.01540, Subtle Error = 1.215e-02
Time = 1.550, Theta = 0.02260, Small Oscillation = 0.01040, Subtle Error = 1.221e-02
Time = 1.560, Theta = 0.01766, Small Oscillation = 0.00540, Subtle Error = 1.226e-02
Time = 1.570, Theta = 0.01271, Small Oscillation = 0.00040, Subtle Error = 1.232e-02
Time = 1.580, Theta = 0.00777, Small Oscillation = -0.00460, Subtle Error = 1.237e-02
Time = 1.590, Theta = 0.00282, Small Oscillation = -0.00960, Subtle Error = 1.242e-02
Time = 1.600, Theta = -0.00213, Small Oscillation = -0.01460, Subtle Error = 1.247e-02
Time = 1.610, Theta = -0.00708, Small Oscillation = -0.01960, Subtle Error = 1.252e-02
Time = 1.620, Theta = -0.01202, Small Oscillation = -0.02459, Subtle Error = 1.257e-02
Time = 1.630, Theta = -0.01697, Small Oscillation = -0.02958, Subtle Error = 1.261e-02
Time = 1.640, Theta = -0.02191, Small Oscillation = -0.03457, Subtle Error = 1.266e-02
Time = 1.650, Theta = -0.02686, Small Oscillation = -0.03956, Subtle Error = 1.270e-02
Time = 1.660, Theta = -0.03180, Small Oscillation = -0.04454, Subtle Error = 1.275e-02
Time = 1.670, Theta = -0.03673, Small Oscillation = -0.04952, Subtle Error = 1.279e-02
Time = 1.680, Theta = -0.04166, Small Oscillation = -0.05449, Subtle Error = 1.283e-02
Time = 1.690, Theta = -0.04659, Small Oscillation = -0.05946, Subtle Error = 1.287e-02
Time = 1.700, Theta = -0.05152, Small Oscillation = -0.06442, Subtle Error = 1.291e-02
Time = 1.710, Theta = -0.05643, Small Oscillation = -0.06938, Subtle Error = 1.294e-02
Time = 1.720, Theta = -0.06135, Small Oscillation = -0.07433, Subtle Error = 1.298e-02
Time = 1.730, Theta = -0.06625, Small Oscillation = -0.07927, Subtle Error = 1.301e-02
Time = 1.740, Theta = -0.07115, Small Oscillation = -0.08420, Subtle Error = 1.304e-02
Time = 1.750, Theta = -0.07605, Small Oscillation = -0.08912, Subtle Error = 1.308e-02
Time = 1.760, Theta = -0.08093, Small Oscillation = -0.09404, Subtle Error = 1.311e-02
Time = 1.770, Theta = -0.08581, Small Oscillation = -0.09894, Subtle Error = 1.313e-02
Time = 1.780, Theta = -0.09068, Small Oscillation = -0.10384, Subtle Error = 1.316e-02
Time = 1.790, Theta = -0.09554, Small Oscillation = -0.10873, Subtle Error = 1.319e-02
Time = 1.800, Theta = -0.10039, Small Oscillation = -0.11360, Subtle Error = 1.321e-02
Time = 1.810, Theta = -0.10523, Small Oscillation = -0.11846, Subtle Error = 1.324e-02
Time = 1.820, Theta = -0.11006, Small Oscillation = -0.12332, Subtle Error = 1.326e-02
Time = 1.830, Theta = -0.11488, Small Oscillation = -0.12816, Subtle Error = 1.328e-02
Time = 1.840, Theta = -0.11968, Small Oscillation = -0.13298, Subtle Error = 1.330e-02
Time = 1.850, Theta = -0.12448, Small Oscillation = -0.13780, Subtle Error = 1.332e-02
Time = 1.860, Theta = -0.12926, Small Oscillation = -0.14259, Subtle Error = 1.333e-02
Time = 1.870, Theta = -0.13403, Small Oscillation = -0.14738, Subtle Error = 1.335e-02
Time = 1.880, Theta = -0.13879, Small Oscillation = -0.15215, Subtle Error = 1.336e-02
Time = 1.890, Theta = -0.14353, Small Oscillation = -0.15691, Subtle Error = 1.337e-02
Time = 1.900, Theta = -0.14826, Small Oscillation = -0.16164, Subtle Error = 1.338e-02
Time = 1.910, Theta = -0.15297, Small Oscillation = -0.16637, Subtle Error = 1.339e-02
Time = 1.920, Theta = -0.15767, Small Oscillation = -0.17107, Subtle Error = 1.340e-02
Time = 1.930, Theta = -0.16236, Small Oscillation = -0.17576, Subtle Error = 1.341e-02
Time = 1.940, Theta = -0.16702, Small Oscillation = -0.18044, Subtle Error = 1.341e-02
Time = 1.950, Theta = -0.17167, Small Oscillation = -0.18509, Subtle Error = 1.342e-02
Time = 1.960, Theta = -0.17631, Small Oscillation = -0.18973, Subtle Error = 1.342e-02
Time = 1.970, Theta = -0.18092, Small Oscillation = -0.19434, Subtle Error = 1.342e-02
Time = 1.980, Theta = -0.18552, Small Oscillation = -0.19894, Subtle Error = 1.342e-02
Time = 1.990, Theta = -0.19010, Small Oscillation = -0.20352, Subtle Error = 1.342e-02
Time = 2.000, Theta = -0.19466, Small Oscillation = -0.20807, Subtle Error = 1.342e-02
Time = 2.010, Theta = -0.19920, Small Oscillation = -0.21261, Subtle Error = 1.341e-02
Time = 2.020, Theta = -0.20372, Small Oscillation = -0.21712, Subtle Error = 1.341e-02
Time = 2.030, Theta = -0.20822, Small Oscillation = -0.22162, Subtle Error = 1.340e-02
Time = 2.040, Theta = -0.21270, Small Oscillation = -0.22609, Subtle Error = 1.339e-02
Time = 2.050, Theta = -0.21716, Small Oscillation = -0.23054, Subtle Error = 1.338e-02
Time = 2.060, Theta = -0.22160, Small Oscillation = -0.23496, Subtle Error = 1.337e-02
Time = 2.070, Theta = -0.22601, Small Oscillation = -0.23936, Subtle Error = 1.335e-02
Time = 2.080, Theta = -0.23040, Small Oscillation = -0.24374, Subtle Error = 1.334e-02
Time = 2.090, Theta = -0.23477, Small Oscillation = -0.24809, Subtle Error = 1.332e-02
Time = 2.100, Theta = -0.23912, Small Oscillation = -0.25242, Subtle Error = 1.330e-02
Time = 2.110, Theta = -0.24344, Small Oscillation = -0.25673, Subtle Error = 1.328e-02
Time = 2.120, Theta = -0.24774, Small Oscillation = -0.26100, Subtle Error = 1.326e-02
Time = 2.130, Theta = -0.25202, Small Oscillation = -0.26526, Subtle Error = 1.324e-02
Time = 2.140, Theta = -0.25627, Small Oscillation = -0.26948, Subtle Error = 1.321e-02
Time = 2.150, Theta = -0.26049, Small Oscillation = -0.27368, Subtle Error = 1.319e-02
Time = 2.160, Theta = -0.26469, Small Oscillation = -0.27785, Subtle Error = 1.316e-02
Time = 2.170, Theta = -0.26886, Small Oscillation = -0.28199, Subtle Error = 1.313e-02
Time = 2.180, Theta = -0.27301, Small Oscillation = -0.28611, Subtle Error = 1.310e-02
Time = 2.190, Theta = -0.27713, Small Oscillation = -0.29019, Subtle Error = 1.307e-02
Time = 2.200, Theta = -0.28122, Small Oscillation = -0.29425, Subtle Error = 1.303e-02
Time = 2.210, Theta = -0.28528, Small Oscillation = -0.29828, Subtle Error = 1.300e-02
Time = 2.220, Theta = -0.28932, Small Oscillation = -0.30228, Subtle Error = 1.296e-02
Time = 2.230, Theta = -0.29332, Small Oscillation = -0.30624, Subtle Error = 1.292e-02
Time = 2.240, Theta = -0.29730, Small Oscillation = -0.31018, Subtle Error = 1.288e-02
Time = 2.250, Theta = -0.30125, Small Oscillation = -0.31409, Subtle Error = 1.284e-02
Time = 2.260, Theta = -0.30517, Small Oscillation = -0.31796, Subtle Error = 1.279e-02
Time = 2.270, Theta = -0.30906, Small Oscillation = -0.32180, Subtle Error = 1.274e-02
Time = 2.280, Theta = -0.31292, Small Oscillation = -0.32561, Subtle Error = 1.270e-02
Time = 2.290, Theta = -0.31675, Small Oscillation = -0.32939, Subtle Error = 1.265e-02
Time = 2.300, Theta = -0.32054, Small Oscillation = -0.33314, Subtle Error = 1.260e-02
Time = 2.310, Theta = -0.32431, Small Oscillation = -0.33685, Subtle Error = 1.254e-02
Time = 2.320, Theta = -0.32804, Small Oscillation = -0.34053, Subtle Error = 1.249e-02
Time = 2.330, Theta = -0.33174, Small Oscillation = -0.34417, Subtle Error = 1.243e-02
Time = 2.340, Theta = -0.33541, Small Oscillation = -0.34778, Subtle Error = 1.237e-02
Time = 2.350, Theta = -0.33905, Small Oscillation = -0.35136, Subtle Error = 1.231e-02
Time = 2.360, Theta = -0.34265, Small Oscillation = -0.35490, Subtle Error = 1.225e-02
Time = 2.370, Theta = -0.34622, Small Oscillation = -0.35840, Subtle Error = 1.218e-02
Time = 2.380, Theta = -0.34975, Small Oscillation = -0.36187, Subtle Error = 1.212e-02
Time = 2.390, Theta = -0.35325, Small Oscillation = -0.36530, Subtle Error = 1.205e-02
Time = 2.400, Theta = -0.35672, Small Oscillation = -0.36870, Subtle Error = 1.198e-02
Time = 2.410, Theta = -0.36015, Small Oscillation = -0.37206, Subtle Error = 1.191e-02
Time = 2.420, Theta = -0.36355, Small Oscillation = -0.37538, Subtle Error = 1.183e-02
Time = 2.430, Theta = -0.36691, Small Oscillation = -0.37866, Subtle Error = 1.175e-02
Time = 2.440, Theta = -0.37023, Small Oscillation = -0.38191, Subtle Error = 1.168e-02
Time = 2.450, Theta = -0.37352, Small Oscillation = -0.38512, Subtle Error = 1.160e-02
Time = 2.460, Theta = -0.37677, Small Oscillation = -0.38829, Subtle Error = 1.151e-02
Time = 2.470, Theta = -0.37999, Small Oscillation = -0.39142, Subtle Error = 1.143e-02
Time = 2.480, Theta = -0.38316, Small Oscillation = -0.39451, Subtle Error = 1.134e-02
Time = 2.490, Theta = -0.38630, Small Oscillation = -0.39756, Subtle Error = 1.125e-02
Time = 2.500, Theta = -0.38941, Small Oscillation = -0.40057, Subtle Error = 1.116e-02
Time = 2.510, Theta = -0.39247, Small Oscillation = -0.40354, Subtle Error = 1.107e-02
Time = 2.520, Theta = -0.39550, Small Oscillation = -0.40648, Subtle Error = 1.098e-02
Time = 2.530, Theta = -0.39849, Small Oscillation = -0.40937, Subtle Error = 1.088e-02
Time = 2.540, Theta = -0.40144, Small Oscillation = -0.41222, Subtle Error = 1.078e-02
Time = 2.550, Theta = -0.40435, Small Oscillation = -0.41503, Subtle Error = 1.068e-02
Time = 2.560, Theta = -0.40722, Small Oscillation = -0.41779, Subtle Error = 1.058e-02
Time = 2.570, Theta = -0.41005, Small Oscillation = -0.42052, Subtle Error = 1.047e-02
Time = 2.580, Theta = -0.41284, Small Oscillation = -0.42320, Subtle Error = 1.036e-02
Time = 2.590, Theta = -0.41559, Small Oscillation = -0.42585, Subtle Error = 1.025e-02
Time = 2.600, Theta = -0.41830, Small Oscillation = -0.42844, Subtle Error = 1.014e-02
Time = 2.610, Theta = -0.42097, Small Oscillation = -0.43100, Subtle Error = 1.003e-02
Time = 2.620, Theta = -0.42360, Small Oscillation = -0.43351, Subtle Error = 9.912e-03
Time = 2.630, Theta = -0.42619, Small Oscillation = -0.43598, Subtle Error = 9.793e-03
Time = 2.640, Theta = -0.42874, Small Oscillation = -0.43841, Subtle Error = 9.672e-03
Time = 2.650, Theta = -0.43124, Small Oscillation = -0.44079, Subtle Error = 9.549e-03
Time = 2.660, Theta = -0.43371, Small Oscillation = -0.44313, Subtle Error = 9.423e-03
Time = 2.670, Theta = -0.43613, Small Oscillation = -0.44542, Subtle Error = 9.295e-03
Time = 2.680, Theta = -0.43851, Small Oscillation = -0.44767, Subtle Error = 9.165e-03
Time = 2.690, Theta = -0.44084, Small Oscillation = -0.44988, Subtle Error = 9.033e-03
Time = 2.700, Theta = -0.44314, Small Oscillation = -0.45204, Subtle Error = 8.898e-03
Time = 2.710, Theta = -0.44539, Small Oscillation = -0.45415, Subtle Error = 8.761e-03
Time = 2.720, Theta = -0.44760, Small Oscillation = -0.45622, Subtle Error = 8.622e-03
Time = 2.730, Theta = -0.44976, Small Oscillation = -0.45824, Subtle Error = 8.480e-03
Time = 2.740, Theta = -0.45188, Small Oscillation = -0.46022, Subtle Error = 8.336e-03
Time = 2.750, Theta = -0.45396, Small Oscillation = -0.46215, Subtle Error = 8.189e-03
Time = 2.760, Theta = -0.45600, Small Oscillation = -0.46404, Subtle Error = 8.041e-03
Time = 2.770, Theta = -0.45799, Small Oscillation = -0.46588, Subtle Error = 7.889e-03
Time = 2.780, Theta = -0.45993, Small Oscillation = -0.46767, Subtle Error = 7.736e-03
Time = 2.790, Theta = -0.46183, Small Oscillation = -0.46941, Subtle Error = 7.580e-03
Time = 2.800, Theta = -0.46369, Small Oscillation = -0.47111, Subtle Error = 7.422e-03
Time = 2.810, Theta = -0.46550, Small Oscillation = -0.47276, Subtle Error = 7.261e-03
Time = 2.820, Theta = -0.46727, Small Oscillation = -0.47437, Subtle Error = 7.098e-03
Time = 2.830, Theta = -0.46899, Small Oscillation = -0.47592, Subtle Error = 6.932e-03
Time = 2.840, Theta = -0.47067, Small Oscillation = -0.47743, Subtle Error = 6.764e-03
Time = 2.850, Theta = -0.47230, Small Oscillation = -0.47889, Subtle Error = 6.594e-03
Time = 2.860, Theta = -0.47389, Small Oscillation = -0.48031, Subtle Error = 6.422e-03
Time = 2.870, Theta = -0.47543, Small Oscillation = -0.48167, Subtle Error = 6.246e-03
Time = 2.880, Theta = -0.47692, Small Oscillation = -0.48299, Subtle Error = 6.069e-03
